subject,phase,time,ear
dahyun,trial1,1784601259.1839943,0.36339923932622586
dahyun,trial1,1784601259.2239792,0.3637898086561453
dahyun,trial1,1784601259.2619548,0.3640580314297823
dahyun,trial1,1784601259.3000581,0.3642320794996484
dahyun,trial1,1784601259.3400168,0.36410784353253023
dahyun,trial1,1784601259.3775392,0.3639493178983807
dahyun,trial1,1784601259.4161072,0.36370373975655435
dahyun,trial1,1784601259.4551048,0.3634934515870769
dahyun,trial1,1784601259.4931254,0.3633547374569931
dahyun,trial1,1784601259.5308921,0.36325076772570614
dahyun,trial1,1784601259.5683272,0.3631613737863182
dahyun,trial1,1784601259.606443,0.36314983884176777
dahyun,trial1,1784601259.6452339,0.3631052517804001
dahyun,trial1,1784601259.6833997,0.36307995468785903
dahyun,trial1,1784601259.721368,0.36305319473798126
dahyun,trial1,1784601259.7600715,0.3629952278301705
dahyun,trial1,1784601259.80001,0.36294631335325933
dahyun,trial1,1784601259.8399768,0.36289413290919903
dahyun,trial1,1784601259.8773646,0.3628165112675439
dahyun,trial1,1784601259.9158406,0.3627889710387319
dahyun,trial1,1784601259.952694,0.36277588548653716
dahyun,trial1,1784601259.992023,0.3626799290875269
dahyun,trial1,1784601260.031994,0.36267743637582894
dahyun,trial1,1784601260.0699518,0.3626657464502898
dahyun,trial1,1784601260.1079144,0.3626424111653587
dahyun,trial2,1784601261.6841433,0.3295031610494995
dahyun,trial2,1784601261.7225454,0.34316684735202085
dahyun,trial2,1784601261.7609353,0.35410440246966146
dahyun,trial2,1784601261.8006344,0.3613552179551591
dahyun,trial2,1784601261.838583,0.3654772493523014
dahyun,trial2,1784601261.8764696,0.36772192159960215
dahyun,trial2,1784601261.91488,0.3688183018288044
dahyun,trial2,1784601261.952816,0.3690725007589294
dahyun,trial2,1784601261.9905877,0.36874965515453195
dahyun,trial2,1784601262.0309188,0.3685112925544939
dahyun,trial2,1784601262.0708985,0.3679105839119584
dahyun,trial2,1784601262.1083858,0.3675763119595998
dahyun,trial2,1784601262.146924,0.36691855731176737
dahyun,trial2,1784601262.1864293,0.3665582811603799
dahyun,trial2,1784601262.2252865,0.3662426522374595
dahyun,trial2,1784601262.2632747,0.36602464641258614
dahyun,trial2,1784601262.3029213,0.36583711714945943
dahyun,trial2,1784601262.34058,0.365702937616628
dahyun,trial2,1784601262.37867,0.36551475426054325
dahyun,trial2,1784601262.417548,0.36536163888805057
dahyun,trial2,1784601262.4579313,0.36519331558065304
dahyun,trial2,1784601262.497529,0.36502278891967715
dahyun,trial2,1784601262.5359974,0.3648720991152318
dahyun,trial2,1784601262.5759974,0.3647998419920348
dahyun,trial2,1784601262.6152737,0.36475072268471764
dahyun,trial2,1784601262.6540344,0.36472688467721426
dahyun,trial2,1784601262.6920788,0.3647227113271289
dahyun,trial2,1784601262.7301953,0.36464401221514775
dahyun,trial2,1784601262.767053,0.36473161781268326
dahyun,trial2,1784601262.8060334,0.3645867785349799
dahyun,trial2,1784601262.8457499,0.3645529596586833
dahyun,trial2,1784601262.8833032,0.35795295905642366
dahyun,trial2,1784601262.9203665,0.24670427401150305
dahyun,trial2,1784601262.95839,0.12920315247650835
dahyun,trial2,1784601262.9953907,0.07261092114434176
dahyun,trial2,1784601263.0349252,0.05794104689234568
dahyun,trial2,1784601263.0723026,0.0895003251023853
dahyun,trial2,1784601263.1104143,0.16841362982489969
dahyun,trial2,1784601263.1505928,0.24511827034373113
dahyun,trial2,1784601263.1898963,0.3008939448597965
dahyun,trial2,1784601263.2301464,0.33570839124410445
dahyun,trial2,1784601263.2690747,0.35431274607032615
dahyun,trial2,1784601263.3061619,0.363760943855129
dahyun,trial2,1784601263.3450735,0.36848984890044467
dahyun,trial2,1784601263.38165,0.36966033829991396
dahyun,trial2,1784601263.4206843,0.3695427512878293
dahyun,trial2,1784601263.4589064,0.36868112317649715
dahyun,trial2,1784601263.4969485,0.3681835868272449
dahyun,trial2,1784601263.5360138,0.36799619706199177
dahyun,trial2,1784601263.5753155,0.36743533105655235
dahyun,trial2,1784601263.6122518,0.3675248467392859
dahyun,trial2,1784601263.6501408,0.36748403166095717
dahyun,trial2,1784601263.686902,0.3672599860404361
dahyun,trial2,1784601263.7253604,0.3671943361712743
dahyun,trial2,1784601263.763838,0.3672910323625808
dahyun,trial2,1784601263.803017,0.3672328642702033
dahyun,trial2,1784601263.8415,0.3673549990035038
dahyun,trial2,1784601263.8789086,0.3674985284853428
dahyun,trial2,1784601263.917379,0.3676214524685267
dahyun,trial2,1784601263.956015,0.36780506752669384
dahyun,trial2,1784601263.9939213,0.3680505041294426
dahyun,trial2,1784601264.0334253,0.36894933101240257
dahyun,trial2,1784601264.0732465,0.37033708783431174
dahyun,trial2,1784601264.110234,0.3719112674695126
dahyun,trial2,1784601264.148368,0.3739422929710939
dahyun,trial2,1784601264.185904,0.3753759628726454
dahyun,trial2,1784601264.2248633,0.3765502765291572
dahyun,trial2,1784601264.2660608,0.3772065614767946
dahyun,trial2,1784601264.305995,0.37747678214480773
dahyun,trial2,1784601264.3440182,0.37755691420580156
dahyun,trial2,1784601264.3821476,0.3776105317031196
dahyun,trial2,1784601264.4219792,0.377427157107842
dahyun,trial2,1784601264.4597702,0.37734118320829535
dahyun,trial2,1784601264.498881,0.3773898860459629
dahyun,trial2,1784601264.5365672,0.3774624096769721
dahyun,trial2,1784601264.5744903,0.37722903738028246
dahyun,trial2,1784601264.6135075,0.3769614851680094
dahyun,trial2,1784601264.6509068,0.37616828208658526
dahyun,trial2,1784601264.688661,0.37558069409066946
dahyun,trial2,1784601264.730911,0.3758661402435495
dahyun,trial2,1784601264.7740366,0.3765105933264122
dahyun,trial2,1784601264.8134892,0.37674804095741754
dahyun,trial2,1784601264.8516097,0.37658413780837796
dahyun,trial2,1784601264.8887548,0.37632885969142726
dahyun,trial2,1784601264.9262955,0.3762722360774992
dahyun,trial2,1784601264.9627383,0.37619122175378317
dahyun,trial2,1784601265.000757,0.3753565169184476
dahyun,trial2,1784601265.037989,0.3756532725363304
dahyun,trial2,1784601265.0756054,0.37498377074424966
dahyun,trial2,1784601265.1130347,0.3743010621299633
dahyun,trial2,1784601265.1503294,0.3733548788910014
dahyun,trial2,1784601265.186989,0.3723348219619128
dahyun,trial2,1784601265.2250283,0.3718320460188736
dahyun,trial2,1784601265.2628922,0.37106575570086675
dahyun,trial2,1784601265.3008919,0.3705660847876089
dahyun,trial2,1784601265.3400102,0.3701415719972123
dahyun,trial2,1784601265.3798354,0.36985420514803036
dahyun,trial2,1784601265.4179285,0.36965437311432225
dahyun,trial2,1784601265.456761,0.36953906245681245
dahyun,trial2,1784601265.4948993,0.36946635343572287
dahyun,trial2,1784601265.5328808,0.3694084806775608
dahyun,trial2,1784601265.5719054,0.369337461400866
dahyun,trial2,1784601265.609817,0.36927621168494884
dahyun,trial2,1784601265.6480155,0.3692392353050067
dahyun,trial3,1784601267.2150986,0.36803790678623155
dahyun,trial3,1784601267.2521791,0.3725344639010334
dahyun,trial3,1784601267.2899888,0.37635775312535413
dahyun,trial3,1784601267.328945,0.37823629415207105
dahyun,trial3,1784601267.3669074,0.3791023331566362
dahyun,trial3,1784601267.4044414,0.3788497902822022
dahyun,trial3,1784601267.4430223,0.37852866135047303
dahyun,trial3,1784601267.4802697,0.37808149446059813
dahyun,trial3,1784601267.5184453,0.3775102509685787
dahyun,trial3,1784601267.5572546,0.37703479140412516
dahyun,trial3,1784601267.5950267,0.3765387284945332
dahyun,trial3,1784601267.6324046,0.3760789133651502
dahyun,trial3,1784601267.6705577,0.3757884390729914
dahyun,trial3,1784601267.708033,0.3755356223581575
dahyun,trial3,1784601267.745844,0.3752641472610664
dahyun,trial3,1784601267.784948,0.3749871806042304
dahyun,trial3,1784601267.822728,0.3748389861980642
dahyun,trial3,1784601267.8592222,0.3747498925170218
dahyun,trial3,1784601267.8973918,0.37482515215653833
dahyun,trial3,1784601267.9352453,0.37483776029487686
dahyun,trial3,1784601267.9732213,0.37483949369633907
dahyun,trial3,1784601268.010491,0.37483997813584724
dahyun,trial3,1784601268.0490296,0.3748344588659963
dahyun,trial3,1784601268.0880163,0.3748950256947012
dahyun,trial3,1784601268.1271472,0.37473787172412054
dahyun,trial3,1784601268.1670096,0.3749249966831205
dahyun,trial3,1784601268.20507,0.37493188248992815
dahyun,trial3,1784601268.2440157,0.37470591625179905
dahyun,trial3,1784601268.2816148,0.37451530474043787
dahyun,trial3,1784601268.3183146,0.37434662514170036
dahyun,trial3,1784601268.3574157,0.3741670534448275
dahyun,trial3,1784601268.3944714,0.37402620101742323
dahyun,trial3,1784601268.435103,0.3589557949952752
dahyun,trial3,1784601268.4752417,0.20331626770766262
dahyun,trial3,1784601268.51312,0.11769225529843567
dahyun,trial3,1784601268.552081,0.07123873974215589
dahyun,trial3,1784601268.5899053,0.04219864994536206
dahyun,trial3,1784601268.6297936,0.0797300632077961
dahyun,trial3,1784601268.6702104,0.17234088934492392
dahyun,trial3,1784601268.7080674,0.25793083396243993
dahyun,trial3,1784601268.7481096,0.3149202951956265
dahyun,trial3,1784601268.7859824,0.3494532165595782
dahyun,trial3,1784601268.8236873,0.3678755080185193
dahyun,trial3,1784601268.8606608,0.3776205456237758
dahyun,trial3,1784601268.903674,0.3823215909769748
dahyun,trial3,1784601268.941274,0.3843469955473134
dahyun,trial3,1784601268.9800496,0.384915550127891
dahyun,trial3,1784601269.0184379,0.38475245533083685
dahyun,trial3,1784601269.056367,0.38435529114121014
dahyun,trial3,1784601269.092923,0.3839950559580241
dahyun,trial3,1784601269.1306927,0.3833600661021818
dahyun,trial3,1784601269.168847,0.38287859468561214
dahyun,trial3,1784601269.2062716,0.38257878198794704
dahyun,trial3,1784601269.243006,0.3824090450427299
dahyun,trial3,1784601269.2814186,0.38239235878031763
dahyun,trial3,1784601269.3189394,0.3825006969804451
dahyun,trial3,1784601269.3569589,0.3825489615644178
dahyun,trial3,1784601269.3949153,0.38257411451124823
dahyun,trial3,1784601269.433099,0.3825665395492737
dahyun,trial3,1784601269.4720056,0.38269289783765875
dahyun,trial3,1784601269.5120156,0.38286121625715397
dahyun,trial3,1784601269.5519986,0.3828494343138775
dahyun,trial3,1784601269.5898793,0.38282280378284966
dahyun,trial3,1784601269.627213,0.3826324091735176
dahyun,trial3,1784601269.6651347,0.38239736385407924
dahyun,trial3,1784601269.7044692,0.3822125839863849
dahyun,trial3,1784601269.742549,0.3821091601755643
dahyun,trial3,1784601269.7818496,0.38194302870969243
dahyun,trial3,1784601269.8234422,0.38187440565171915
dahyun,trial3,1784601269.8669827,0.38173784771632635
dahyun,trial3,1784601269.9087346,0.38174021862878627
dahyun,trial3,1784601269.94691,0.3816949963480293
dahyun,trial3,1784601269.9851902,0.3815671146760428
dahyun,trial3,1784601270.0224795,0.3814349929614515
dahyun,trial3,1784601270.0620205,0.3813008379768027
dahyun,trial3,1784601270.1000817,0.38104816689570786
dahyun,trial3,1784601270.1389735,0.38083820050362965
dahyun,trial3,1784601270.1788971,0.3807594802217307
dahyun,trial3,1784601270.2169273,0.38053705088910994
dahyun,trial3,1784601270.2546024,0.38051771898037484
dahyun,trial3,1784601270.2932065,0.38046099701228464
dahyun,trial3,1784601270.3320222,0.3803870099104538
dahyun,trial3,1784601270.3697479,0.38031260420738966
dahyun,trial3,1784601270.406402,0.38016564613414744
dahyun,trial3,1784601270.4450161,0.3799826904570748
dahyun,trial3,1784601270.4806237,0.3798101821415071
dahyun,trial3,1784601270.5190773,0.3796557030383999
dahyun,trial3,1784601270.557917,0.3795000395758759
dahyun,trial3,1784601270.5971186,0.37941740029505205
dahyun,trial3,1784601270.6342316,0.3793358890292705
dahyun,trial3,1784601270.6735125,0.3792349045131963
dahyun,trial3,1784601270.7106628,0.37922620283633096
dahyun,trial3,1784601270.7490823,0.37916914118678774
dahyun,trial3,1784601270.786906,0.37906454833513303
dahyun,trial3,1784601270.8247252,0.37901386419692873
dahyun,trial3,1784601270.8613281,0.3790148829077135
dahyun,trial3,1784601270.899353,0.3790170531701946
dahyun,trial3,1784601270.937589,0.37906813282343116
dahyun,trial3,1784601270.9755816,0.3790911608277151
dahyun,trial3,1784601271.0124757,0.3790762936843216
dahyun,trial3,1784601271.0504363,0.37903734957734
dahyun,trial3,1784601271.08944,0.37899927261506783
dahyun,trial3,1784601271.127314,0.37894461427495263
dahyun,trial3,1784601271.1648839,0.3789525418017747
dahyun,trial3,1784601271.2040336,0.37890208424353805
dahyun,trial4,1784601272.7458038,0.3473289620473741
dahyun,trial4,1784601272.7833076,0.307770749669253
dahyun,trial4,1784601272.823851,0.29221573139223833
dahyun,trial4,1784601272.861421,0.28638130723806804
dahyun,trial4,1784601272.8990731,0.2917843851574507
dahyun,trial4,1784601272.9389198,0.30322248837045385
dahyun,trial4,1784601272.9769323,0.3180302503226133
dahyun,trial4,1784601273.0139613,0.33177662983479234
dahyun,trial4,1784601273.053386,0.34335176887466307
dahyun,trial4,1784601273.090578,0.35181095751472846
dahyun,trial4,1784601273.1283333,0.35779526191586314
dahyun,trial4,1784601273.1676307,0.36210755108759796
dahyun,trial4,1784601273.207665,0.3650250514726969
dahyun,trial4,1784601273.2466755,0.3669609714685829
dahyun,trial4,1784601273.2851882,0.3682013524498541
dahyun,trial4,1784601273.3219874,0.36898290620411356
dahyun,trial4,1784601273.3596208,0.3694204496355399
dahyun,trial4,1784601273.396428,0.36965886568844575
dahyun,trial4,1784601273.434699,0.36970054768718974
dahyun,trial4,1784601273.4715376,0.36966496844763036
dahyun,trial4,1784601273.5094726,0.36965131600834555
dahyun,trial4,1784601273.54891,0.369688398990996
dahyun,trial4,1784601273.5878904,0.36988608233877146
dahyun,trial4,1784601273.6259096,0.3701374345720123
dahyun,trial4,1784601273.6640692,0.3703500730388744
dahyun,trial4,1784601273.7017677,0.3705101518104913
dahyun,trial4,1784601273.7398906,0.3706734919388178
dahyun,trial4,1784601273.779089,0.3708551478672355
dahyun,trial4,1784601273.8177538,0.3709839230550508
dahyun,trial4,1784601273.854934,0.3710707788290336
dahyun,trial4,1784601273.894856,0.37164105195124664
dahyun,trial4,1784601273.9342692,0.33473971104927946
dahyun,trial4,1784601273.9726725,0.18261330882705046
dahyun,trial4,1784601274.0119944,0.09992326725314461
