frame,read,detect,crop,infer,e2e_ms,output
202,0.9473,7.8062,0.5573,2.2603,11.5711,0.011156
203,0.9185,7.7552,0.5732,2.2739,11.5207,0.008216
204,0.9484,7.803,0.5645,2.252,11.568,0.015822
205,0.9392,7.6962,0.5572,2.2193,11.4118,0.021536
206,0.9846,8.0496,0.5658,2.2365,11.8364,0.017379
207,0.9547,7.732,0.5623,2.2251,11.4742,0.007744
208,0.9641,7.8586,0.5938,2.2416,11.658,0.007524
209,0.9479,7.7218,0.5668,2.2434,11.4799,0.003894
210,0.9416,7.8178,0.5605,2.2571,11.577,0.005604
211,0.9257,7.7719,0.5606,2.2584,11.5166,0.005346
212,0.9622,7.8553,0.567,2.258,11.6425,0.004048
213,0.9356,7.7895,0.5656,2.2586,11.5492,0.00529
214,0.9391,7.8511,0.5679,2.2743,11.6325,0.004411
215,0.9292,7.7074,0.5608,2.2312,11.4286,0.004207
216,0.985,7.7937,0.5609,2.242,11.5816,0.004538
217,0.9757,7.737,0.5681,2.2289,11.5098,0.00472
218,0.9741,7.7657,0.581,2.2435,11.5643,0.00456
219,0.9313,7.7118,0.5606,2.2523,11.456,0.002953
220,0.9653,7.8393,0.5573,2.2483,11.6102,0.002872
221,0.9475,7.7159,0.569,2.2512,11.4837,0.003429
222,0.9347,7.7925,0.5653,2.2581,11.5506,0.0036
223,0.9239,7.7403,0.5683,2.2865,11.519,0.00333
224,0.9621,7.7898,0.5566,2.2775,11.586,0.026752
225,0.9546,7.7008,0.5536,2.2372,11.4462,0.017188
226,0.9913,7.7291,0.5513,2.2226,11.4943,0.014675
227,0.9606,7.7481,0.5594,2.248,11.516,0.012962
228,0.9639,7.9227,0.5838,2.2435,11.7139,0.019555
229,0.9432,7.7087,0.5567,2.2368,11.4454,0.025561
230,0.9515,7.7872,0.5618,2.2545,11.555,0.024389
231,0.9194,7.9313,0.5748,2.2618,11.6874,0.018598
232,0.9574,7.8711,0.564,2.2556,11.6481,0.016895
233,0.9316,8.3994,0.5705,2.2392,12.1407,0.017179
234,0.9437,7.8168,0.5681,2.2788,11.6074,0.014007
235,0.9227,8.4676,0.5727,2.2756,12.2386,0.014172
236,0.9596,7.8281,0.5653,2.2723,11.6253,0.017734
237,0.9414,7.6706,0.5586,2.2742,11.4448,0.019523
238,0.9348,7.7715,0.5631,2.2671,11.5365,0.023024
239,0.9291,7.6824,0.5693,2.2388,11.4195,0.021472
240,1.0365,7.9575,0.5641,2.2352,11.7932,0.023601
241,0.9841,7.7836,0.5767,2.2321,11.5764,0.033414
242,0.9766,7.7479,0.5814,2.2268,11.5327,0.028623
243,0.9534,7.7497,0.5661,2.2369,11.5061,0.025933
244,0.9686,7.815,0.5658,2.2738,11.6232,0.024287
245,0.9335,7.7581,0.5649,2.2857,11.5423,0.019973
246,0.9553,8.6867,0.5714,2.2717,12.4851,0.055261
247,0.9069,7.8003,0.5776,2.2642,11.549,0.048197
248,0.9442,8.0147,0.5615,2.276,11.7964,0.049955
249,0.9628,7.7152,0.5618,2.2716,11.5115,0.047682
250,0.9386,7.8159,0.5617,2.2592,11.5754,0.05035
251,0.9126,7.7223,0.5662,2.272,11.4732,0.012492
252,0.9588,7.7853,0.5667,2.2422,11.5529,0.006515
253,0.9807,7.7799,0.5607,2.2347,11.556,0.011341
254,0.9984,7.7595,0.5643,2.2397,11.5619,0.006726
255,0.9118,8.5674,0.5633,2.2377,12.2802,0.004636
256,1.0059,7.8005,0.5675,2.2389,11.6128,0.00615
257,0.9781,7.6709,0.5952,2.2445,11.4888,0.006596
258,0.9438,7.8325,0.563,2.2679,11.6072,0.007368
259,0.9252,8.0212,0.5681,2.2853,11.7999,0.005062
260,0.952,7.8893,0.5649,2.2697,11.6758,0.006085
261,0.9596,7.7355,0.566,2.2716,11.5327,0.007226
262,0.9283,7.731,0.5672,2.2692,11.4957,0.006165
263,0.9256,7.7487,0.5721,2.2932,11.5395,0.010954
264,0.9664,7.8345,0.5663,2.2858,11.653,0.008824
265,0.9471,7.6936,0.5708,2.2641,11.4755,0.015394
266,0.9861,7.8939,0.5492,2.2459,11.675,0.010106
267,0.9578,7.7505,0.5438,2.2399,11.4919,0.00641
268,0.9983,7.7754,0.5776,2.2458,11.597,0.013056
269,0.9418,7.8038,0.5843,2.2389,11.5687,0.012264
270,0.9468,7.72,0.557,2.2655,11.4894,0.013463
271,0.9196,8.237,0.5529,2.2625,11.972,0.013556
272,0.9593,7.7366,0.5672,2.2666,11.5297,0.012315
273,0.9513,7.725,0.5591,2.2604,11.4958,0.012132
274,0.9303,7.7828,0.5646,2.2724,11.5502,0.013527
275,0.9251,7.7002,0.5609,2.2679,11.4541,0.011286
276,0.9633,7.8679,0.5593,2.2328,11.6233,0.013873
277,1.0,7.7116,0.5573,2.2225,11.4915,0.011796
278,0.9736,7.6859,0.5523,2.2203,11.4321,0.012987
279,0.9256,7.6954,0.5831,2.2282,11.4323,0.014351
280,0.9615,7.8635,0.5694,2.2682,11.6627,0.014865
281,0.9643,7.752,0.5559,2.26,11.5322,0.011714
282,0.9857,7.8174,0.5497,2.2549,11.6076,0.014174
283,0.9149,8.2116,0.5497,2.2658,11.942,0.011189
284,0.933,7.8525,0.5616,2.2788,11.6259,0.010276
285,0.9683,7.9884,0.5547,2.2945,11.8059,0.011012
286,0.9708,7.7585,0.5665,2.292,11.5877,0.01046
287,0.8985,7.7571,0.5653,2.2338,11.4547,0.006937
288,0.9465,7.7665,0.5603,2.2357,11.5088,0.013095
289,1.0158,7.7394,0.5643,2.2431,11.5626,0.009497
290,0.9886,7.7288,0.5732,2.2312,11.5218,0.009446
291,0.9172,7.7463,0.5771,2.2306,11.4712,0.00961
292,0.9239,7.8446,0.5678,2.2548,11.5911,0.009627
293,0.9643,7.712,0.5527,2.2662,11.4953,0.008754
294,0.9516,7.7297,0.5603,2.2662,11.5078,0.010459
295,0.8879,8.1537,0.5746,2.2778,11.894,0.904303
296,0.934,7.7197,0.558,2.2657,11.4775,0.999993
297,0.982,7.7219,0.5751,2.262,11.541,0.999994
298,0.9674,7.7745,0.5748,2.2363,11.553,0.999946
299,0.9285,7.7274,0.5798,2.2415,11.4771,0.998595
300,0.9733,7.7866,0.5656,2.2483,11.5739,0.99025
301,0.9786,7.7658,0.5875,2.2327,11.5646,0.604939
