frame,read,detect,crop,infer,e2e_ms,output
222,0.9526,7.8478,4.4165,2.3469,15.5638,0.003641
223,0.9037,7.817,4.4111,2.322,15.4538,0.003376
224,0.9591,7.8747,4.4418,2.3275,15.603,0.026798
225,0.9834,7.7912,4.4137,2.3422,15.5305,0.01724
226,0.9325,7.779,4.4976,2.3517,15.5608,0.014451
227,0.9082,7.8241,4.5321,2.3376,15.6021,0.012917
228,0.9595,7.8279,4.4494,2.2997,15.5365,0.019682
229,0.9809,7.746,4.5031,2.3104,15.5404,0.025667
230,1.0393,7.8607,4.3825,2.3083,15.5908,0.023791
231,0.9128,8.4026,4.3968,2.2913,16.0035,0.018614
232,0.9833,7.8283,4.3895,2.3016,15.5027,0.016813
233,0.9185,8.5492,4.5017,2.3095,16.279,0.017011
234,0.9601,7.941,4.5554,2.3033,15.7598,0.013954
235,0.9069,7.7848,4.5332,2.3002,15.5251,0.014283
236,0.958,7.792,4.484,2.3338,15.5677,0.017903
237,0.9539,7.8647,4.4299,2.3285,15.5771,0.019275
238,0.93,7.9569,4.4012,2.3282,15.6163,0.023155
239,0.8962,7.7832,4.4323,2.3446,15.4562,0.02149
240,0.9603,7.8322,4.5941,2.3341,15.7207,0.023873
241,0.9578,7.9767,4.4331,2.3574,15.725,0.033567
242,0.9246,7.8237,4.4155,2.3078,15.4718,0.028612
243,0.9237,7.7405,4.4194,2.3212,15.4048,0.025989
244,0.9853,7.8802,4.5105,2.3143,15.6904,0.023853
245,0.9826,7.9687,4.4616,2.2916,15.7044,0.020289
246,0.9402,7.7726,4.4664,2.3119,15.4911,0.055526
247,0.8948,7.8619,4.4576,2.3397,15.5539,0.048489
248,0.9216,7.8382,4.3725,2.355,15.4873,0.048841
249,0.968,7.888,4.4541,2.3754,15.6855,0.047823
250,0.934,7.7648,4.408,2.3503,15.4572,0.05049
251,0.9031,7.7922,4.4654,2.3295,15.4902,0.012513
252,0.9431,7.8475,4.3974,2.3075,15.4955,0.00652
253,0.9908,7.8639,4.5047,2.3088,15.6682,0.011357
254,0.9972,7.7994,4.4305,2.3004,15.5275,0.006782
255,0.929,7.7872,4.4429,2.2951,15.4542,0.004566
256,0.9437,7.8395,4.4223,2.3255,15.531,0.0061
257,0.9367,7.8044,4.4545,2.3133,15.5089,0.006565
258,0.9507,8.3363,4.4507,2.3254,16.0631,0.007472
259,0.9034,8.1904,4.4882,2.3267,15.9088,0.005064
260,0.9466,7.9169,4.527,2.3541,15.7446,0.006132
261,0.9734,7.9178,4.3921,2.3394,15.6228,0.007212
262,0.9404,7.9128,4.4598,2.3328,15.6459,0.006145
263,0.9226,7.9274,4.4171,2.3463,15.6135,0.010968
