subject,phase,time,ear
hanul,trial5,1784601538.3740118,0.36985625602070527
hanul,trial5,1784601538.4127798,0.3696408346613209
hanul,trial5,1784601538.4511487,0.36967862491338377
hanul,trial5,1784601538.4876866,0.3697081578275668
hanul,trial6,1784601540.0439878,0.36578537462382454
hanul,trial6,1784601540.08113,0.36574382326069765
hanul,trial6,1784601540.120134,0.36575521680380785
hanul,trial6,1784601540.1566935,0.3657429972100409
hanul,trial6,1784601540.193944,0.36571134617623624
hanul,trial6,1784601540.23475,0.36576538794600044
hanul,trial6,1784601540.2738845,0.36582412952527354
hanul,trial6,1784601540.3120468,0.3658442382448236
hanul,trial6,1784601540.3499894,0.3659027258736768
hanul,trial6,1784601540.3873432,0.3658744084060007
hanul,trial6,1784601540.426329,0.3658722673079854
hanul,trial6,1784601540.4660208,0.3659191397669207
hanul,trial6,1784601540.5052347,0.3661128555620107
hanul,trial6,1784601540.5440443,0.36630553630176665
hanul,trial6,1784601540.5815716,0.3664035746813874
hanul,trial6,1784601540.6201131,0.3663596089782817
hanul,trial6,1784601540.6599975,0.3662984851453285
hanul,trial6,1784601540.697185,0.3662187662037085
hanul,trial6,1784601540.734956,0.3660222867453154
hanul,trial6,1784601540.772099,0.3659068909789408
hanul,trial6,1784601540.8097534,0.36582818925807914
hanul,trial6,1784601540.8487852,0.36576397350881595
hanul,trial6,1784601540.887772,0.3657451514925265
hanul,trial6,1784601540.9250495,0.36584931652794794
hanul,trial6,1784601540.9631534,0.36594648977026545
hanul,trial6,1784601541.0019522,0.3659831672453069
hanul,trial6,1784601541.0415957,0.36600655034827534
hanul,trial6,1784601541.0850384,0.3659798906253995
hanul,trial6,1784601541.1276643,0.36582296819413695
hanul,trial6,1784601541.1701527,0.3491894621022541
hanul,trial6,1784601541.207323,0.3013076338036147
hanul,trial6,1784601541.2460537,0.23213157274723623
hanul,trial6,1784601541.284316,0.16347057817673816
hanul,trial6,1784601541.3226268,0.10857278384073538
hanul,trial6,1784601541.3601189,0.07543986257682811
hanul,trial6,1784601541.39939,0.056299371307831934
hanul,trial6,1784601541.4400253,0.04594105792443044
hanul,trial6,1784601541.477985,0.03723537185397687
hanul,trial6,1784601541.5147197,0.03132909974119387
hanul,trial6,1784601541.552443,0.0274894855263617
hanul,trial6,1784601541.5890007,0.025138270711341077
hanul,trial6,1784601541.6268795,0.023465523896596598
hanul,trial6,1784601541.66507,0.02252225486495454
hanul,trial6,1784601541.7024617,0.022049365971590556
hanul,trial6,1784601541.7405794,0.021755994314710824
hanul,trial6,1784601541.7783582,0.025457338995338787
hanul,trial6,1784601541.8168564,0.0793238662293
hanul,trial6,1784601541.8550088,0.15224051873603342
hanul,trial6,1784601541.893923,0.22189948838477758
hanul,trial6,1784601541.9324853,0.27271630594914037
hanul,trial6,1784601541.973945,0.3057498629029817
hanul,trial6,1784601542.0140688,0.3273861682163085
hanul,trial6,1784601542.0535486,0.34196997915898814
hanul,trial6,1784601542.0912974,0.35386296488656543
hanul,trial6,1784601542.1299498,0.36147611676201896
hanul,trial6,1784601542.1672122,0.3669184088652732
hanul,trial6,1784601542.2065053,0.3705626138529333
hanul,trial6,1784601542.2445168,0.37267164461532537
hanul,trial6,1784601542.283994,0.37375058960755586
hanul,trial6,1784601542.3223667,0.3743619864671597
hanul,trial6,1784601542.3590822,0.3742180919411907
hanul,trial6,1784601542.397002,0.3740343769999571
hanul,trial6,1784601542.4350276,0.37374213187940286
hanul,trial6,1784601542.4738822,0.3735042088179496
hanul,trial6,1784601542.510674,0.3731387534470266
hanul,trial6,1784601542.5488834,0.3727200698973098
hanul,trial6,1784601542.5854208,0.37221088547504044
hanul,trial6,1784601542.6229212,0.3717091025306265
hanul,trial6,1784601542.6597652,0.37123784114837943
hanul,trial6,1784601542.6973789,0.371006181242862
hanul,trial6,1784601542.735986,0.3707139051421249
hanul,trial6,1784601542.7745767,0.37035135780743467
hanul,trial6,1784601542.811354,0.37019132780676894
hanul,trial6,1784601542.8487527,0.36994889436669615
hanul,trial6,1784601542.886878,0.3697140439643247
hanul,trial6,1784601542.9245698,0.36921894099843083
hanul,trial6,1784601542.9624028,0.368437545701675
hanul,trial6,1784601542.9999096,0.3679406943926678
hanul,trial6,1784601543.0399861,0.36789283200956135
hanul,trial6,1784601543.0777466,0.36783833650243025
hanul,trial6,1784601543.116061,0.3677114233854929
hanul,trial6,1784601543.154652,0.36739469131421765
hanul,trial6,1784601543.1913218,0.36718689074217226
hanul,trial6,1784601543.2292433,0.36711166397167955
hanul,trial6,1784601543.266949,0.3670251419651782
hanul,trial6,1784601543.30467,0.36693075504075273
hanul,trial6,1784601543.3425572,0.36666148762679074
hanul,trial6,1784601543.3802397,0.36640295717262583
hanul,trial6,1784601543.4199839,0.36657923943906345
hanul,trial6,1784601543.4582822,0.3667082958436705
hanul,trial6,1784601543.4980829,0.3666451369840036
hanul,trial6,1784601543.536649,0.36627334021430347
hanul,trial6,1784601543.5759928,0.3658557461663896
hanul,trial6,1784601543.612986,0.36542581596391777
hanul,trial6,1784601543.651973,0.36507405625717787
hanul,trial6,1784601543.6895614,0.3652105944764499
hanul,trial6,1784601543.7280233,0.3659505919255579
hanul,trial6,1784601543.7679923,0.3660684316489435
hanul,trial6,1784601543.807121,0.36644944492960796
hanul,trial6,1784601543.8473809,0.36665533070636847
hanul,trial6,1784601543.8864906,0.36711210251764276
hanul,trial6,1784601543.9252572,0.36827510115757756
hanul,trial6,1784601543.9640195,0.3689534764210704
hanul,trial6,1784601544.002689,0.3694311792060341
hanul,trial6,1784601544.042595,0.369704213355714
hanul,trial7,1784601545.6075811,0.37049420537115046
hanul,trial7,1784601545.644649,0.3705694640522421
hanul,trial7,1784601545.6842167,0.3706309079769067
hanul,trial7,1784601545.7212162,0.37066768019388674
hanul,trial7,1784601545.7588367,0.3705797222053716
hanul,trial7,1784601545.7961876,0.3704416911267157
hanul,trial7,1784601545.8345037,0.3702222819887444
hanul,trial7,1784601545.8739347,0.3699610202493703
hanul,trial7,1784601545.9122448,0.3697654056501317
hanul,trial7,1784601545.9489343,0.36970110486968266
hanul,trial7,1784601545.986395,0.36993203815053133
hanul,trial7,1784601546.0229914,0.3703002979836425
hanul,trial7,1784601546.060975,0.37053371453995687
hanul,trial7,1784601546.097763,0.3706711444245936
hanul,trial7,1784601546.1357102,0.3707047374072159
hanul,trial7,1784601546.177986,0.3707511325070356
hanul,trial7,1784601546.2236266,0.37084503325333795
hanul,trial7,1784601546.2668202,0.3708591328109295
hanul,trial7,1784601546.3049252,0.37089589577822446
hanul,trial7,1784601546.3440528,0.3708515654502923
hanul,trial7,1784601546.3839757,0.3708242900277393
hanul,trial7,1784601546.4229686,0.3708020217649229
hanul,trial7,1784601546.4630036,0.37079688806351657
hanul,trial7,1784601546.5015862,0.3708440309211117
hanul,trial7,1784601546.5383072,0.37101745167971856
hanul,trial7,1784601546.575959,0.37117912002942277
hanul,trial7,1784601546.6151423,0.37126815760393106
hanul,trial7,1784601546.6554432,0.3711857218406197
hanul,trial7,1784601546.6919615,0.37095974991544667
hanul,trial7,1784601546.730909,0.3707137638547028
hanul,trial7,1784601546.769631,0.37052057955674456
hanul,trial7,1784601546.8077166,0.37034626365117473
hanul,trial7,1784601546.8459427,0.37011047860288576
hanul,trial7,1784601546.8840272,0.36998397170072517
hanul,trial7,1784601546.922762,0.36988005323523265
hanul,trial7,1784601546.9604256,0.3600489753989388
hanul,trial7,1784601546.9996953,0.3305992689799868
hanul,trial7,1784601547.037441,0.2870592693289332
hanul,trial7,1784601547.0760803,0.19805800547719835
hanul,trial7,1784601547.1148705,0.12846413839863027
hanul,trial7,1784601547.1546943,0.0869705506788387
hanul,trial7,1784601547.194432,0.062249632004115985
hanul,trial7,1784601547.23374,0.048414408491650227
hanul,trial7,1784601547.2720218,0.04056935354934225
hanul,trial7,1784601547.3096468,0.03635287665626996
hanul,trial7,1784601547.3470514,0.033876551111390964
hanul,trial7,1784601547.3849013,0.032228372095465835
hanul,trial7,1784601547.4269555,0.03191283518829426
hanul,trial7,1784601547.4655156,0.03101052376575602
hanul,trial7,1784601547.5040538,0.03023600432780707
hanul,trial7,1784601547.5418577,0.030692014847175444
hanul,trial7,1784601547.5820925,0.06563467770407926
hanul,trial7,1784601547.6194978,0.12444824257641676
hanul,trial7,1784601547.656471,0.18430662729071276
hanul,trial7,1784601547.695252,0.23930150995369287
hanul,trial7,1784601547.7340999,0.28049634379250843
hanul,trial7,1784601547.7759955,0.30809511712676974
hanul,trial7,1784601547.816079,0.3259460655497633
hanul,trial7,1784601547.853058,0.3393691998301095
hanul,trial7,1784601547.8902407,0.34843833921618794
hanul,trial7,1784601547.9307418,0.3538820029212308
